Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /deals/,40,0,110,107.35000499917078,17.251200013561174,238.33600000943989,1784.0,0.674781416389827,0.0,120,130,150,170,220,230,240,240,240,240,240
POST,POST /auth/login,40,0,520,533.8128475013946,457.1957000007387,634.2061000177637,1350.0,0.674781416389827,0.0,530,560,570,590,610,630,630,630,630,630,630
POST,POST /tasks/ [write],2309,0,68,294.544229883072,9.783199988305569,11346.787899994524,688.0,38.95175726110276,0.0,68,110,170,220,580,1500,2800,4300,7900,11000,11000
PUT,PUT /tasks/{id} [write],1423,0,67,300.55566542483774,10.473199974512681,10364.213499997277,918.4223471539002,24.005348888068095,0.0,67,100,140,180,620,1700,3200,4100,8600,10000,10000
,Aggregated,3812,0,69,297.3346938089139,9.783199988305569,11346.787899994524,792.4624868835257,64.30666898195051,0.0,69,110,160,220,590,1600,3000,4200,8600,11000,11000
