Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /contracts/,83,0,7,6.789908433018859,5.456500002765097,11.359800002537668,2319.0,1.3976078542773485,0.0,7,7,7,7,8,8,11,11,11,11,11
GET,GET /dashboard/activity,83,0,4,4.740025301313825,3.696300002047792,34.602300002006814,159.6144578313253,1.3976078542773485,0.0,4,5,5,5,5,6,7,35,35,35,35
GET,GET /dashboard/summary,83,0,7,7.627520483184931,6.035200000042096,16.554500005440786,104.0,1.3976078542773485,0.0,7,8,8,8,9,10,11,17,17,17,17
GET,GET /data-health/issues,20,0,7,6.652214999485295,5.474700010381639,9.898300006170757,13996.0,0.33677297693430086,0.0,7,7,7,7,9,10,10,10,10,10,10
GET,GET /data-health/report.pdf [CPU],10,0,94,94.59661999717355,90.81979999609757,99.13459999370389,5599.9,0.16838648846715043,0.0,95,96,98,99,99,99,99,99,99,99,99
GET,GET /deals/,84,0,4,5.458532142732847,3.3537999988766387,98.871300011524,1784.0,1.4144465031240636,0.0,4,5,5,5,5,6,10,99,99,99,99
GET,GET /document-registry/,83,0,5,4.847590361668515,4.030999989481643,9.886200001346879,2789.0,1.3976078542773485,0.0,5,5,5,5,6,6,8,10,10,10,10
GET,GET /finance/cashflow,20,0,5,4.773165000369772,4.047900001751259,5.742100009229034,1707.0,0.33677297693430086,0.0,5,5,5,5,6,6,6,6,6,6,6
GET,GET /finance/overview,20,0,7,6.990330001281109,6.137700009276159,7.874200004152954,2372.0,0.33677297693430086,0.0,7,7,7,7,8,8,8,8,8,8,8
GET,GET /outgoing-registry/ [bug?],14,14,8,8.447164286086004,7.109300000593066,12.642799993045628,21.0,0.2357410838540106,0.2357410838540106,8,8,8,8,12,13,13,13,13,13,13
POST,POST /auth/login,1,0,203.9950000034878,203.9950000034878,203.9950000034878,203.9950000034878,1350.0,0.016838648846715043,0.0,200,200,200,200,200,200,200,200,200,200,200
POST,POST /tasks/ [write],27,0,41,52.46296296536457,36.92330000922084,192.42360000498593,685.7777777777778,0.45464351886130616,0.0,41,41,42,44,70,160,190,190,190,190,190
PUT,PUT /tasks/{id} [write],19,0,40,48.08431578873608,37.44699999515433,95.70809999422636,914.6315789473684,0.3199343280875858,0.0,40,43,50,56,76,96,96,96,96,96,96
,Aggregated,547,14,6,11.732309140979867,3.3537999988766387,203.9950000034878,1920.9085923217551,9.210740919153128,0.2357410838540106,6,7,7,8,38,42,94,99,200,200,200
