Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /data-health/issues,581,0,240,255.75479948340669,5.6173000048147514,977.1728000050643,13996.0,6.5440274064245525,0.0,240,320,360,410,490,590,750,780,980,980,980
GET,GET /data-health/report.pdf [CPU],770,0,500,516.202758831012,92.65979999327101,2038.6645999969915,5602.0,8.672807406104829,0.0,500,590,650,690,820,930,1000,1200,2000,2000,2000
GET,GET /deals/,16,0,43,397.22846249787835,14.70129999506753,1308.7437999929534,1784.0,0.18021417986711333,0.0,230,230,1300,1300,1300,1300,1300,1300,1300,1300,1300
GET,GET /finance/cashflow,584,0,220,244.95549623326005,4.074700002092868,1565.0434999988647,1707.0,6.577817565149637,0.0,220,300,320,380,470,550,650,740,1600,1600,1600
GET,GET /finance/overview,586,0,440,477.33762235479645,6.648099995800294,2054.428300005384,2372.0,6.600344337633025,0.0,450,570,640,690,790,860,1000,1100,2100,2100,2100
POST,POST /auth/login,16,0,920,969.0847999981997,772.1776000107639,1218.1349000020418,1350.0,0.18021417986711333,0.0,960,970,1200,1200,1200,1200,1200,1200,1200,1200,1200
,Aggregated,2553,0,340,388.05504563251486,4.074700002092868,2054.428300005384,5829.314531923227,28.755425075046272,0.0,340,460,540,590,730,840,970,1100,2000,2100,2100
