Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /deals/,40,0,2900,2191.897600001539,192.09160000900738,5679.056300010416,1784.0,0.44714187935931066,0.0,2900,2900,2900,4200,4300,5700,5700,5700,5700,5700,5700
POST,POST /auth/login,40,0,3300,3171.2798025022494,1552.168399997754,4280.85780001129,1350.0,0.44714187935931066,0.0,3300,3400,3400,4300,4300,4300,4300,4300,4300,4300,4300
POST,POST /tasks/ [write],4329,3608,110,127.26230974827476,18.14379999996163,630.5398999975296,131.9089859089859,48.3919298936614,40.332197518209824,110,130,160,170,220,270,330,380,470,630,630
PUT,PUT /tasks/{id} [write],2782,645,190,206.7728597413504,15.429300008690916,653.4762999945087,709.2598849748382,31.09871770944006,7.210162804668885,190,220,260,280,350,390,440,480,630,650,650
,Aggregated,7191,4253,140,186.43967887649345,15.429300008690916,5679.056300010416,371.2355722430816,80.38493136182008,47.54236032287871,140,180,200,220,290,360,430,550,4300,5700,5700
