Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /data-health/issues,503,0,360,396.62418329987463,14.33520000136923,1153.8563999929465,13996.0,5.668367132545698,0.0,360,440,510,530,690,760,900,930,1200,1200,1200
GET,GET /data-health/report.pdf [CPU],780,0,560,565.1883062817573,93.07690001151059,1203.725100000156,5602.0,8.789913247287563,0.0,560,640,700,740,830,900,990,1000,1200,1200,1200
GET,GET /deals/,16,0,22,35.10920625012659,9.424099989701062,127.88510000973474,1784.0,0.1803059127648731,0.0,23,28,32,32,110,130,130,130,130,130,130
GET,GET /finance/cashflow,503,0,230,254.18322107319074,14.878899994073436,778.0606000014814,1707.0,5.668367132545698,0.0,230,320,350,400,470,530,620,640,780,780,780
GET,GET /finance/overview,504,0,440,451.04718174621263,44.065199996111915,1081.6499999928055,2372.0,5.679636252093502,0.0,440,520,590,620,710,780,890,970,1100,1100,1100
POST,POST /auth/login,16,0,390,386.910631252249,265.87770000332966,497.77680000988767,1350.0,0.1803059127648731,0.0,390,440,450,450,500,500,500,500,500,500,500
,Aggregated,2322,0,420,431.6464686905908,9.424099989701062,1203.725100000156,5819.897071490095,26.166895590002206,0.0,420,510,590,620,740,830,920,980,1100,1200,1200
