Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /deals/,40,0,62,91.57901749968005,5.2500000019790605,313.75289999414235,1784.0,0.44739209261390417,0.0,65,110,120,130,220,310,310,310,310,310,310
POST,POST /auth/login,40,0,470,464.3020749990683,342.3791000095662,578.4367000014754,1350.0,0.44739209261390417,0.0,470,490,490,500,570,580,580,580,580,580,580
POST,POST /tasks/ [write],3661,3,62,272.1365337066397,9.71850000496488,9716.756100009661,687.4523354274788,40.94756127648758,0.033554406946042815,62,100,140,190,530,1400,2700,4000,8800,9700,9700
PUT,PUT /tasks/{id} [write],2351,0,61,261.0106031476601,10.18820000172127,8504.13529999787,918.18034878775,26.29547024338222,0.0,61,94,130,170,470,1400,2700,4200,7100,8500,8500
,Aggregated,6092,3,62,267.91907774131835,5.2500000019790605,9716.756100009661,788.0441562705187,68.13781570509761,0.033554406946042815,62,99,140,190,510,1300,2700,4200,8500,9700,9700
